EmployeeID,Age,Gender,MaritalStatus,City,Department,JobRole,Education,YearsAtCompany,YearsInCurrentRole,MonthlyIncome,BusinessTravel,DistanceFromHome_km,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,TrainingTimesLastYear,NumCompaniesWorked,HireDate,Attrition,PercentSalaryHike,StockOptionLevel,EnvironmentSatisfaction,RelationshipSatisfaction
EMP1031,45,Female,Single,Kolkata,Operations,Supply Chain Analyst,High School,5,4,61217,Travel Rarely,28,1,2,1,No,5,7,2021-12-24,Yes,20,3,2,4
EMP1032,29,Male,Divorced,Kolkata,Operations,Process Manager,PhD,1,0,66336,Travel Frequently,8,2,4,3,No,0,6,2011-08-30,No,19,3,2,3
EMP1033,58,Male,Single,Hyderabad,Legal,Paralegal,PhD,19,14,59854,Travel Frequently,18,2,3,2,Yes,1,7,2012-03-23,No,14,0,2,3
EMP1034,36,Male,Single,Hyderabad,Product,Product Manager,Bachelor,14,12,80224,Travel Rarely,27,3,3,4,No,2,4,2023-03-25,No,19,0,3,2
EMP1035,54,Male,Divorced,Kolkata,Legal,Paralegal,Master,17,1,87602,No Travel,22,3,3,4,Yes,1,7,2011-10-21,No,21,3,4,2
EMP1036,27,Male,Married,Hyderabad,Legal,Legal Analyst,Master,3,2,78269,Travel Rarely,13,2,3,2,No,5,1,2017-06-23,No,17,0,3,3
EMP1037,34,Female,Single,Hyderabad,Legal,Legal Counsel,Bachelor,8,2,79153,Travel Rarely,29,2,3,4,No,3,8,2021-03-07,No,5,3,1,4
EMP1038,29,Female,Single,Chennai,Marketing,Brand Manager,Bachelor,2,0,74711,Travel Rarely,5,4,4,3,Yes,4,6,2016-07-18,No,15,2,4,2
EMP1039,31,Female,Single,Kolkata,Operations,Process Manager,PhD,7,0,73506,Travel Rarely,8,3,4,4,No,5,7,2017-09-28,No,17,3,4,4
EMP1040,24,Male,Married,Kolkata,Finance,Auditor,Bachelor,0,0,85942,Travel Rarely,24,4,1,2,No,0,4,2023-03-28,No,15,3,3,4
EMP1041,53,Male,Married,Bangalore,Legal,Paralegal,Master,27,0,90625,No Travel,4,4,4,3,No,3,5,2023-11-07,Yes,6,2,3,3
EMP1042,58,Male,Married,Pune,HR,Training Coordinator,Master,21,14,82708,Travel Rarely,5,3,3,3,No,4,0,2013-10-24,Yes,19,2,3,2
EMP1043,41,Female,Divorced,Mumbai,Product,Product Analyst,High School,13,13,110198,Travel Frequently,12,3,3,2,Yes,4,6,2020-03-31,No,13,0,3,3
EMP1044,40,Male,Divorced,Hyderabad,Engineering,QA Engineer,High School,7,4,100780,Travel Rarely,27,2,4,2,No,5,0,2017-11-26,No,23,2,3,1
EMP1045,48,Female,Divorced,Kolkata,Operations,Logistics Coordinator,Master,5,0,55941,Travel Rarely,16,3,2,3,Yes,6,1,2022-02-05,No,9,1,4,3
EMP1046,27,Male,Divorced,Bangalore,Legal,Paralegal,PhD,3,0,56890,Travel Frequently,12,3,2,3,No,5,8,2022-01-13,Yes,15,1,3,3
EMP1047,48,Female,Divorced,Pune,Product,Product Analyst,Bachelor,3,3,71440,Travel Frequently,12,1,4,3,Yes,3,1,2010-11-01,No,20,3,4,2
EMP1048,50,Male,Single,Kolkata,Sales,Account Manager,PhD,14,1,105151,Travel Frequently,9,3,4,3,No,3,3,2018-02-19,Yes,25,0,1,2
EMP1049,26,Male,Single,Chennai,Finance,Accountant,Master,4,1,67526,No Travel,28,4,4,2,No,2,0,2014-11-05,No,9,0,3,4
EMP1050,33,Male,Divorced,Hyderabad,Sales,Sales Executive,Master,4,3,53418,Travel Frequently,15,3,4,3,No,0,0,2019-06-11,No,6,3,4,3
EMP1051,50,Female,Married,Chennai,Marketing,Brand Manager,PhD,2,0,96520,Travel Frequently,13,2,3,2,No,2,1,2017-03-23,No,25,1,3,4
EMP1052,51,Male,Single,Hyderabad,Legal,Paralegal,PhD,12,1,82623,Travel Frequently,3,2,4,3,No,3,5,2012-02-18,No,9,0,3,3
EMP1053,48,Male,Single,Pune,Sales,Sales Executive,PhD,11,3,100719,No Travel,17,4,3,3,No,4,5,2019-06-27,No,22,2,2,2
EMP1054,57,Female,Divorced,Kolkata,HR,Training Coordinator,Master,24,10,83993,Travel Rarely,6,3,3,3,No,0,0,2023-10-06,No,10,1,3,3
EMP1055,27,Male,Single,Bangalore,Finance,Financial Analyst,Bachelor,5,4,87702,No Travel,20,3,3,3,No,4,1,2018-06-09,No,13,3,3,3
EMP1056,39,Male,Married,Chennai,Product,Scrum Master,High School,6,0,114747,No Travel,2,3,3,2,No,2,4,2012-07-21,No,11,1,4,2
EMP1057,53,Male,Married,Hyderabad,Marketing,Marketing Manager,PhD,23,2,71027,Travel Rarely,13,3,4,3,No,0,6,2012-11-24,No,23,3,3,3
EMP1058,23,Female,Divorced,Hyderabad,Marketing,Brand Manager,PhD,1,1,56949,Travel Frequently,19,3,3,3,Yes,3,5,2023-11-12,No,12,2,4,1
EMP1059,44,Male,Divorced,Delhi,Marketing,Content Writer,PhD,11,9,87169,Travel Frequently,3,2,3,2,No,5,7,2013-04-24,No,23,2,4,3
EMP1060,26,Female,Married,Hyderabad,Finance,Auditor,High School,3,3,82193,Travel Rarely,2,3,1,3,No,0,8,2016-10-16,No,6,3,4,3
EMP1061,52,Male,Single,Pune,HR,HR Analyst,PhD,16,14,50882,Travel Frequently,6,4,4,4,Yes,5,8,2011-05-22,No,24,1,3,4
EMP1062,43,Male,Married,Hyderabad,Legal,Legal Analyst,Bachelor,21,11,94264,Travel Rarely,30,3,2,2,No,5,6,2017-07-04,Yes,9,0,2,3
EMP1063,55,Male,Single,Bangalore,Sales,Account Manager,Bachelor,2,0,87611,Travel Rarely,16,2,4,1,No,6,1,2019-07-01,No,21,0,3,4
EMP1064,31,Female,Single,Chennai,Finance,Auditor,Bachelor,2,1,65884,Travel Rarely,10,3,3,1,No,4,3,2013-09-18,No,16,3,3,2
EMP1065,32,Male,Married,Hyderabad,Legal,Legal Analyst,Bachelor,3,2,107280,Travel Rarely,28,3,3,2,No,5,8,2013-02-07,No,9,3,1,4
EMP1066,23,Female,Single,Bangalore,Product,Product Analyst,High School,1,1,65349,Travel Rarely,27,1,2,3,No,0,2,2021-04-05,No,20,3,3,4
EMP1067,35,Female,Single,Hyderabad,Engineering,Data Analyst,PhD,13,9,69667,Travel Frequently,21,2,2,2,Yes,3,0,2023-08-28,No,25,1,3,2
EMP1068,37,Male,Married,Kolkata,Engineering,Data Analyst,PhD,13,0,72237,Travel Frequently,18,4,3,3,No,4,6,2011-12-03,No,16,2,3,3
EMP1069,37,Female,Divorced,Bangalore,Marketing,SEO Analyst,Bachelor,3,0,89569,Travel Frequently,15,2,3,3,No,5,7,2017-06-16,Yes,6,2,2,4
EMP1070,41,Female,Married,Hyderabad,Engineering,Data Analyst,Master,16,13,86579,Travel Rarely,28,3,2,1,No,0,7,2022-03-07,No,17,2,4,3
EMP1071,55,Female,Married,Delhi,Product,Product Analyst,PhD,8,2,118000,Travel Frequently,11,4,3,3,No,0,7,2019-07-10,Yes,16,3,1,4
EMP1072,39,Female,Single,Bangalore,Sales,Sales Manager,High School,1,0,54722,Travel Frequently,22,3,4,4,Yes,4,5,2019-02-10,No,16,3,4,1
EMP1073,45,Male,Married,Chennai,Finance,Auditor,PhD,11,8,82301,No Travel,1,3,3,3,Yes,0,4,2011-09-22,No,13,3,2,3
EMP1074,29,Female,Divorced,Hyderabad,Product,UX Designer,Master,2,1,121638,No Travel,22,4,4,3,No,2,2,2020-02-21,Yes,16,1,2,2
EMP1075,53,Female,Divorced,Delhi,Finance,Accountant,PhD,0,0,77119,No Travel,13,3,3,4,Yes,2,5,2022-11-02,No,25,0,3,3
EMP1076,57,Female,Divorced,Bangalore,Sales,Account Manager,Master,20,16,84256,Travel Rarely,6,1,2,4,Yes,1,1,2012-11-23,No,13,1,3,3
EMP1077,56,Male,Single,Hyderabad,Finance,Finance Manager,High School,2,2,85960,Travel Frequently,27,2,3,3,No,2,4,2013-10-13,No,25,1,4,3
EMP1078,56,Female,Married,Delhi,Engineering,QA Engineer,PhD,9,3,103149,Travel Rarely,6,3,2,4,Yes,0,2,2016-10-10,No,15,2,3,4
EMP1079,45,Female,Single,Kolkata,Legal,Compliance Officer,Bachelor,16,10,91945,Travel Frequently,28,3,2,2,Yes,3,5,2017-02-27,No,11,1,3,3
EMP1080,53,Female,Married,Chennai,Product,Product Analyst,High School,0,0,67939,Travel Rarely,20,2,3,4,Yes,3,2,2018-10-27,No,13,2,4,3
EMP1081,58,Male,Single,Hyderabad,Legal,Legal Counsel,PhD,17,11,68457,Travel Rarely,22,3,3,3,No,4,8,2022-05-30,No,16,1,2,3
EMP1082,24,Female,Divorced,Pune,Engineering,Software Engineer,Master,0,0,108024,Travel Frequently,6,4,2,2,No,2,8,2020-08-16,No,22,3,3,2
EMP1083,43,Male,Divorced,Hyderabad,Engineering,Data Analyst,PhD,21,5,66953,Travel Frequently,9,3,3,4,Yes,3,6,2019-05-06,No,9,1,1,4
EMP1084,23,Male,Divorced,Bangalore,Marketing,Content Writer,Bachelor,1,1,64664,Travel Frequently,24,3,3,2,No,6,7,2013-05-25,No,21,3,2,2
EMP1085,38,Female,Married,Delhi,Sales,Business Development,Master,15,8,61474,Travel Rarely,7,4,4,3,No,5,1,2015-07-13,No,23,3,4,3
EMP1086,40,Female,Single,Hyderabad,Sales,Account Manager,Bachelor,1,0,66967,No Travel,9,2,3,3,Yes,4,8,2011-10-10,No,12,1,1,3
EMP1087,30,Female,Divorced,Hyderabad,Product,Product Manager,High School,0,0,129502,Travel Frequently,11,4,3,4,Yes,2,0,2013-07-17,No,10,3,4,2
EMP1088,53,Female,Single,Kolkata,Engineering,QA Engineer,PhD,5,2,123189,No Travel,15,3,2,1,No,2,1,2016-06-29,No,15,1,3,3
EMP1089,43,Male,Single,Bangalore,Finance,Financial Analyst,PhD,9,5,90029,No Travel,13,4,4,4,No,0,0,2014-05-02,Yes,13,3,2,4
EMP1090,58,Female,Divorced,Hyderabad,Sales,Business Development,Master,0,0,65465,Travel Frequently,30,2,2,2,No,4,3,2018-01-24,No,12,1,3,3
EMP1091,57,Female,Divorced,Pune,Sales,Sales Manager,Master,29,2,77519,Travel Frequently,3,4,3,4,No,6,1,2022-01-21,No,6,1,3,2
EMP1092,29,Male,Divorced,Delhi,Sales,Sales Manager,Master,3,0,91694,Travel Rarely,19,4,3,3,No,3,4,2020-12-18,Yes,5,1,3,1
EMP1093,56,Female,Married,Delhi,Sales,Sales Executive,PhD,1,1,104231,Travel Rarely,24,2,2,3,Yes,5,1,2011-07-20,No,22,1,3,2
EMP1094,55,Female,Single,Bangalore,Finance,Auditor,PhD,4,2,100018,No Travel,18,4,3,4,No,3,4,2014-12-30,No,11,0,1,3
EMP1095,35,Male,Single,Bangalore,Engineering,DevOps Engineer,Master,1,0,66360,Travel Frequently,8,4,2,3,Yes,3,5,2010-10-03,No,23,2,2,4
EMP1096,41,Female,Divorced,Mumbai,HR,Training Coordinator,PhD,8,6,46423,No Travel,21,3,3,4,No,2,4,2023-04-09,No,17,1,4,3
EMP1097,31,Male,Married,Kolkata,HR,HR Analyst,Master,7,1,88771,Travel Frequently,21,3,3,3,Yes,2,3,2022-08-13,No,6,2,3,3
EMP1098,34,Male,Divorced,Hyderabad,Engineering,Software Engineer,PhD,12,3,111295,Travel Frequently,30,4,2,2,No,1,3,2022-07-15,No,17,1,3,4
EMP1099,56,Female,Single,Mumbai,Legal,Legal Analyst,Master,20,13,78992,No Travel,27,3,4,4,No,6,3,2015-11-13,No,9,0,2,4
EMP1100,31,Female,Divorced,Pune,Legal,Paralegal,PhD,3,3,77111,No Travel,27,3,4,2,No,6,5,2018-07-09,No,10,1,3,3
EMP1101,26,Male,Divorced,Pune,Engineering,Software Engineer,PhD,0,0,111475,No Travel,12,1,2,3,Yes,3,0,2019-04-02,Yes,22,3,1,3
EMP1102,23,Female,Married,Hyderabad,Operations,Logistics Coordinator,Master,1,1,87420,Travel Rarely,12,2,2,2,No,6,3,2014-01-08,Yes,12,2,3,4
EMP1103,47,Male,Divorced,Hyderabad,Engineering,Software Engineer,Bachelor,12,3,85147,Travel Frequently,11,2,3,1,No,6,7,2020-09-04,Yes,13,0,4,3
EMP1104,33,Male,Divorced,Kolkata,Operations,Operations Manager,PhD,5,5,46314,Travel Frequently,19,3,3,4,Yes,1,5,2014-08-25,No,17,1,4,3
EMP1105,25,Female,Married,Delhi,Marketing,SEO Analyst,Bachelor,0,0,71377,Travel Frequently,21,4,3,4,No,0,6,2011-09-15,No,18,1,3,3
EMP1106,37,Female,Married,Mumbai,Marketing,SEO Analyst,Master,2,0,52062,No Travel,1,2,3,4,No,0,1,2013-06-17,No,10,3,3,3
EMP1107,23,Male,Divorced,Chennai,Legal,Legal Counsel,Bachelor,0,0,78650,No Travel,3,4,1,4,No,6,2,2012-02-02,No,13,2,2,2
EMP1108,39,Male,Married,Hyderabad,Finance,Auditor,PhD,13,5,73304,Travel Frequently,4,3,3,4,No,3,6,2011-09-23,No,15,3,2,4
EMP1109,42,Male,Married,Delhi,Finance,Finance Manager,Master,19,12,113710,Travel Rarely,16,3,2,2,No,5,1,2014-07-04,No,23,1,3,3
EMP1110,35,Male,Divorced,Delhi,Engineering,QA Engineer,PhD,7,1,113742,Travel Rarely,9,3,3,4,No,1,7,2011-07-21,No,23,3,3,4
EMP1111,45,Male,Divorced,Pune,Legal,Legal Counsel,PhD,22,10,113312,Travel Rarely,21,2,2,4,No,1,1,2022-01-16,No,5,0,2,3
EMP1112,45,Male,Married,Mumbai,HR,Training Coordinator,Master,12,7,66367,No Travel,4,4,3,2,Yes,0,8,2023-03-15,No,20,2,3,3
EMP1113,26,Male,Divorced,Bangalore,Product,Product Analyst,Master,2,2,64745,Travel Rarely,8,2,4,3,No,5,7,2012-07-31,Yes,12,3,3,2
EMP1114,23,Male,Divorced,Bangalore,Legal,Legal Analyst,Master,0,0,84772,No Travel,19,2,4,3,No,0,7,2019-08-20,No,8,2,3,3
EMP1115,47,Male,Divorced,Bangalore,Sales,Sales Manager,Master,18,3,56979,No Travel,19,4,3,3,Yes,4,4,2017-11-23,No,8,1,3,2
EMP1116,30,Male,Single,Mumbai,Legal,Legal Analyst,PhD,6,4,83074,No Travel,10,3,4,3,No,3,5,2020-11-30,No,5,3,2,4
EMP1117,53,Female,Single,Kolkata,Product,Scrum Master,PhD,13,9,111594,Travel Frequently,8,1,4,2,Yes,2,7,2019-12-16,No,22,0,3,2
EMP1118,50,Female,Single,Delhi,Sales,Sales Executive,High School,17,7,62988,No Travel,9,4,2,4,No,3,5,2019-07-15,Yes,24,3,2,2
EMP1119,25,Male,Single,Kolkata,HR,Recruiter,PhD,2,0,69801,Travel Rarely,17,3,2,3,Yes,6,2,2023-05-22,No,9,1,2,2
EMP1120,53,Female,Divorced,Mumbai,HR,Training Coordinator,PhD,4,3,72040,Travel Rarely,17,1,4,3,No,3,0,2016-01-11,No,7,3,3,3
EMP1121,35,Female,Divorced,Kolkata,Marketing,Brand Manager,High School,6,0,92471,No Travel,26,2,3,4,No,3,7,2021-02-04,No,5,0,4,2
EMP1122,49,Male,Married,Pune,Product,Product Manager,Bachelor,6,0,131696,Travel Rarely,9,4,4,3,Yes,2,4,2012-12-16,No,12,3,3,3
EMP1123,52,Male,Married,Hyderabad,Engineering,DevOps Engineer,Bachelor,2,1,68523,No Travel,14,1,2,3,Yes,6,1,2015-01-27,No,8,2,3,2
EMP1124,31,Female,Single,Hyderabad,Legal,Compliance Officer,High School,1,0,89952,No Travel,20,3,2,2,No,3,6,2010-03-11,No,16,3,2,2
EMP1125,37,Female,Divorced,Hyderabad,Operations,Operations Manager,Bachelor,9,7,86006,Travel Rarely,13,2,3,3,No,5,1,2010-08-08,No,12,3,3,1
EMP1126,42,Male,Single,Mumbai,Engineering,Data Analyst,Bachelor,4,0,85805,No Travel,1,2,3,3,No,0,6,2022-10-01,No,21,2,3,3
EMP1127,47,Female,Married,Chennai,Legal,Legal Analyst,High School,2,1,96994,Travel Frequently,5,2,3,3,Yes,6,6,2022-01-22,No,12,0,2,4
EMP1128,25,Female,Single,Mumbai,Marketing,Brand Manager,Bachelor,2,2,83834,Travel Rarely,17,3,2,3,No,4,1,2013-12-09,Yes,5,2,4,2
EMP1129,58,Male,Single,Pune,Marketing,SEO Analyst,High School,20,1,51792,No Travel,4,4,2,2,Yes,6,3,2020-03-17,No,6,3,3,4
EMP1130,57,Male,Divorced,Pune,Finance,Financial Analyst,High School,25,5,111630,No Travel,12,4,2,2,No,4,8,2019-05-29,No,6,3,1,3
EMP1131,42,Female,Single,Pune,Operations,Logistics Coordinator,Bachelor,2,0,74260,No Travel,19,4,3,3,Yes,2,6,2010-03-07,No,5,1,3,3
EMP1132,22,Female,Single,Hyderabad,Engineering,Data Analyst,Bachelor,0,0,117232,Travel Frequently,23,2,3,3,Yes,1,5,2016-11-24,Yes,19,0,3,3
EMP1133,58,Female,Married,Mumbai,Legal,Legal Counsel,Bachelor,1,0,83838,No Travel,11,2,4,3,No,5,2,2012-12-06,No,23,0,2,2
EMP1134,48,Male,Single,Kolkata,Product,Product Analyst,Master,3,1,99329,No Travel,27,4,1,3,No,2,3,2014-08-28,No,16,3,3,3
EMP1135,23,Male,Single,Bangalore,Operations,Supply Chain Analyst,PhD,1,1,89939,Travel Frequently,2,3,4,2,Yes,0,1,2022-06-21,No,23,2,4,1
EMP1136,50,Female,Single,Delhi,Marketing,Content Writer,PhD,25,5,54606,Travel Rarely,13,1,4,4,No,5,3,2017-06-09,Yes,10,2,2,4
EMP1137,40,Male,Divorced,Kolkata,Engineering,DevOps Engineer,High School,15,12,87515,Travel Frequently,17,3,3,2,No,6,5,2022-05-09,No,20,3,2,3
EMP1138,39,Male,Single,Hyderabad,Sales,Sales Manager,Bachelor,5,5,51901,No Travel,12,4,1,4,No,4,4,2023-05-24,No,22,0,4,4
EMP1139,33,Male,Divorced,Bangalore,Legal,Paralegal,PhD,2,2,71139,Travel Rarely,19,4,1,3,No,4,2,2017-02-18,No,20,0,1,2
EMP1140,55,Male,Single,Chennai,HR,HR Manager,Bachelor,15,3,43433,Travel Frequently,2,3,4,2,No,2,5,2023-10-10,No,7,2,3,3
EMP1141,41,Female,Single,Pune,Marketing,SEO Analyst,Bachelor,10,6,55022,Travel Rarely,18,3,3,3,No,5,4,2013-07-14,No,9,1,3,4
EMP1142,33,Female,Single,Pune,Legal,Legal Counsel,High School,9,5,76365,Travel Rarely,12,4,2,3,No,1,0,2023-09-18,No,13,1,2,1
EMP1143,22,Female,Divorced,Pune,Operations,Operations Manager,Bachelor,0,0,65568,Travel Rarely,27,3,3,4,No,0,1,2019-05-31,No,6,2,1,2
EMP1144,43,Female,Divorced,Hyderabad,Marketing,Marketing Manager,PhD,5,5,95903,No Travel,29,4,1,3,No,4,6,2013-08-11,No,10,0,2,2
EMP1145,57,Male,Single,Mumbai,HR,Training Coordinator,High School,23,13,89308,No Travel,16,2,1,3,No,6,4,2022-02-11,No,25,3,2,1
EMP1146,27,Female,Married,Mumbai,Finance,Finance Manager,Bachelor,3,3,107251,No Travel,6,4,2,3,No,3,4,2016-12-01,No,19,3,2,4
EMP1147,28,Female,Divorced,Bangalore,Engineering,DevOps Engineer,PhD,0,0,104933,No Travel,14,2,1,4,No,4,6,2022-02-22,No,6,1,2,4
EMP1148,35,Female,Married,Pune,Finance,Accountant,High School,12,1,66626,Travel Rarely,20,3,4,4,No,6,8,2010-12-16,No,17,2,4,3
EMP1149,29,Female,Divorced,Mumbai,Engineering,QA Engineer,PhD,6,2,69675,Travel Rarely,26,4,4,4,No,0,7,2022-09-16,No,23,3,1,2
EMP1150,24,Female,Married,Mumbai,Finance,Auditor,PhD,1,0,110109,No Travel,27,3,2,1,No,2,2,2017-06-08,No,14,3,4,2
EMP1151,34,Female,Divorced,Chennai,Legal,Legal Counsel,PhD,7,2,69528,Travel Frequently,3,4,4,4,No,1,0,2019-02-18,No,10,1,4,2
EMP1152,24,Male,Single,Mumbai,Engineering,DevOps Engineer,PhD,1,1,62938,No Travel,22,4,3,3,No,0,7,2018-01-31,No,23,2,2,4
EMP1153,40,Female,Divorced,Hyderabad,Operations,Operations Manager,High School,0,0,65601,No Travel,9,2,2,4,Yes,1,2,2013-08-27,No,24,0,2,3
EMP1154,49,Female,Divorced,Pune,Operations,Logistics Coordinator,Master,12,4,89782,Travel Frequently,1,3,4,3,No,0,1,2020-04-18,No,20,0,2,2
EMP1155,38,Male,Divorced,Hyderabad,Sales,Business Development,PhD,9,4,61249,Travel Rarely,11,4,4,4,No,5,6,2021-08-08,No,17,3,3,3
EMP1156,36,Female,Single,Delhi,HR,HR Analyst,Bachelor,10,4,69917,Travel Frequently,6,3,4,3,No,4,8,2020-09-02,No,10,2,3,2
EMP1157,48,Male,Married,Bangalore,HR,HR Analyst,High School,25,21,87387,Travel Rarely,19,4,3,3,No,4,8,2018-05-03,No,14,3,1,4
EMP1158,43,Male,Single,Delhi,Finance,Accountant,Master,13,3,116200,No Travel,11,2,1,4,No,1,2,2020-04-06,Yes,20,0,2,3
EMP1159,49,Male,Divorced,Hyderabad,Legal,Legal Analyst,Bachelor,15,7,80532,Travel Frequently,7,4,4,3,No,4,5,2010-11-06,No,14,1,2,3
EMP1160,26,Female,Married,Kolkata,Operations,Supply Chain Analyst,Bachelor,0,0,61006,Travel Rarely,11,3,3,3,No,1,0,2016-07-10,No,12,1,3,2
EMP1161,29,Male,Divorced,Kolkata,Engineering,DevOps Engineer,High School,5,0,107855,Travel Frequently,22,4,3,3,No,0,1,2010-11-03,No,18,3,3,3
EMP1162,35,Male,Divorced,Pune,Product,UX Designer,High School,11,4,109876,No Travel,14,3,2,3,No,1,1,2010-03-18,No,20,1,3,4
EMP1163,48,Male,Divorced,Pune,HR,HR Analyst,PhD,9,2,51354,No Travel,3,4,2,2,Yes,5,8,2022-04-18,No,7,0,4,3
EMP1164,38,Male,Single,Kolkata,Product,Product Analyst,Bachelor,14,10,65125,Travel Frequently,4,3,3,4,No,0,2,2013-12-02,No,15,2,4,4
EMP1165,45,Male,Single,Bangalore,Operations,Operations Manager,High School,10,2,55009,No Travel,21,4,3,3,No,3,6,2018-12-28,No,23,3,4,3
EMP1166,44,Male,Divorced,Kolkata,Finance,Auditor,Bachelor,19,10,56398,Travel Frequently,11,4,3,3,Yes,5,8,2012-12-06,No,24,0,3,3
